#glon [deg] | vterm_LSR [km/s]
13.44|156.32
14.92|140.99
17.01|130.56
17.61|134.37
17.91|129.53
18.21|127.69
18.51|127.57
18.81|123.61
19.12|124.85
19.42|123.56
19.72|123.02
20.03|120.76
20.33|120.09
20.64|122.51
20.95|118.78
21.25|120.50
21.56|120.41
21.87|111.82
22.18|115.76
22.49|117.37
22.80|114.13
23.11|112.65
23.42|108.68
23.73|111.34
24.05|115.31
24.36|119.07
24.68|113.86
24.99|109.42
25.31|109.31
25.63|111.34
25.94|110.30
26.26|110.78
26.58|107.43
26.90|105.80
27.23|104.01
27.55|105.27
27.87|103.89
28.20|106.26
28.52|106.34
28.85|105.64
29.18|100.25
29.51|102.46
29.83|107.55
30.17|109.48
30.50|110.05
30.83|109.37
31.16|110.11
31.50|109.93
31.84|106.70
32.17|99.50
32.51|98.92
32.85|99.45
33.20|97.77
33.54|107.74
33.88|102.88
34.23|107.55
34.58|98.09
34.92|85.82
35.27|83.60
35.63|84.52
35.98|85.44
36.33|84.33
36.69|87.56
37.05|85.14
37.41|84.62
37.77|89.51
38.13|85.62
38.50|86.12
38.87|85.56
39.23|83.17
39.61|84.80
39.98|81.74
40.35|78.86
40.73|75.00
41.11|78.00
41.49|74.79
41.87|74.20
42.26|71.39
42.65|70.32
43.04|65.44
43.43|66.38
43.83|66.04
44.23|67.07
44.63|67.38
45.03|68.88
45.44|64.84
45.85|64.54
46.26|62.54
46.68|61.05
47.10|60.86
47.52|55.25
47.94|57.80
48.37|58.29
48.81|61.14
49.24|66.63
49.69|67.47
50.13|47.56
50.58|48.07
51.03|60.59
51.49|59.80
51.95|60.93
52.42|62.81
52.89|62.26
53.37|63.61
53.85|56.28
54.34|39.63
54.84|41.16
55.34|40.62
55.84|41.02
56.36|39.79
56.88|37.82
57.41|38.61
57.94|36.12
58.48|41.39
59.04|27.61
59.60|30.45
60.17|29.04
60.75|32.50
61.34|23.05
61.95|30.80
62.56|26.71
63.19|26.87
63.83|22.97
64.49|23.16
65.16|17.75
65.85|19.96
66.56|18.02
67.29|12.43
68.05|16.23
68.83|14.66
69.64|17.85
70.48|12.26
71.35|11.71
72.27|6.03
73.24|5.15
74.26|6.21
75.35|2.60
76.53|1.00
77.82|2.61
79.27|11.25
80.93|8.36
82.98|8.68
85.95|4.08
